,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,MAP
b,1.0,0.0,0.0,1.0,1.0,,,
p_error,0.05000000819563866,7.450580596923828e-09,1.4901161193847657e-09,0.05000000074505806,0.05000000074505806,1.0007506866324938,0.9997499687421851,
v__0_0,0.00013166052152185497,3.881882140724924e-06,1.0134678563979865e-07,0.00012433504695930759,0.00013948754925532312,1370.1955433788432,1.0019562719401136,0.000132
gamma__0_0,0.0,0.0,0.0,0.0,0.0,,,
s__0_0,0.011740451878779937,0.0004013610349043048,8.937859019546175e-06,0.010977825372720275,0.012530500539086357,2106.6407503538294,1.001691379593514,0.011827
tau__0_0,0.16769680023233466,0.01885879815600764,0.0004738888553050465,0.1320043592497012,0.20469085643554316,1434.857647491607,1.0008905053067958,0.16
t0__0_0,0.0,0.0,0.0,0.0,0.0,,,
