,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,MAP
b,1.0,0.0,0.0,1.0,1.0,,,
p_error,0.05000000819563866,7.450580596923828e-09,1.4901161193847657e-09,0.05000000074505806,0.05000000074505806,1.0007506866324938,0.9997499687421851,
v__0_0,9.570818361426051e-05,2.064665352939176e-05,6.52827333035907e-07,5.467272620561193e-05,0.00013244123887518828,760.3003328191332,1.000872984132452,0.0001
gamma__0_0,0.0,0.0,0.0,0.0,0.0,,,
s__0_0,0.012991506793640252,0.0022728193478502388,7.287447059368069e-05,0.009019538227460863,0.017534150916621943,696.1620861075796,1.0012593895291835,0.01017
tau__0_0,0.5906947423212768,0.9692818977860105,0.03623786116048337,0.01063737838969376,3.267977655987539,559.7441386175226,1.0040143328082891,0.18
t0__0_0,0.0,0.0,0.0,0.0,0.0,,,
