,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,MAP
b,1.0,0.0,0.0,1.0,1.0,,,
p_error,0.05000000819563866,7.450580596923828e-09,1.4901161193847657e-09,0.05000000074505806,0.05000000074505806,1.0007506866324938,0.9997499687421851,
v__0_0,2.2261654864857453e-05,2.6966268019057152e-06,8.161541515712326e-08,1.732019103572217e-05,2.7841037899329945e-05,991.2868273017134,1.0015284385217156,2.2e-05
gamma__0_0,0.0,0.0,0.0,0.0,0.0,,,
s__0_0,0.007533026265439599,0.0005453182799904097,1.5596434507138194e-05,0.006451439558682736,0.00857030717735101,1182.8562664826616,1.0004949439349942,0.007365
tau__0_0,2.67858627659762,1.2005780427098796,0.038130042497998,1.0604033799392658,4.960524070168139,987.785745185101,1.0028187083746276,1.32
t0__0_0,0.0,0.0,0.0,0.0,0.0,,,
