,b,p_error,v__0_0,gamma__0_0,s__0_0,tau__0_0,t0__0_0
0,1.0,0.05,9.619084827447372e-05,-0.43032200804660903,0.010800283581075239,0.47778493453016496,0.0
1,1.0,0.05,9.603808869444398e-05,-0.4398888923423243,0.011017545923935227,0.4795386473347427,0.0
2,1.0,0.05,9.083573776178554e-05,-0.3582106718944331,0.010762066048302358,0.562617081166275,0.0
3,1.0,0.05,9.079913998203274e-05,-0.34971081848520136,0.011088632039915062,0.6044920607041737,0.0
4,1.0,0.05,9.13599901483839e-05,-0.4622375228555349,0.010841427634417705,0.5707216034204106,0.0
5,1.0,0.05,9.88029593116139e-05,-0.35237705761108806,0.010558322646212703,0.4477129505197189,0.0
6,1.0,0.05,9.085665187589735e-05,-0.28901868959060906,0.010711699771165258,0.568942412133646,0.0
7,1.0,0.05,8.980512788106365e-05,-0.3763536309591373,0.010603862964407552,0.645404370190563,0.0
8,1.0,0.05,8.980512788106365e-05,-0.3763536309591373,0.010603862964407552,0.645404370190563,0.0
9,1.0,0.05,8.864835880035219e-05,-0.4221017421811091,0.010674672403746253,0.7001635875043023,0.0
10,1.0,0.05,8.85831739164071e-05,-0.42138049942529676,0.011542037700908161,0.6429922873634821,0.0
11,1.0,0.05,9.047493552036307e-05,-0.371157281126818,0.010836421892096068,0.6103485956719696,0.0
12,1.0,0.05,9.274384182470383e-05,-0.34279321471707114,0.010796509883034936,0.5308633407274889,0.0
13,1.0,0.05,9.747452015390806e-05,-0.39595759278393494,0.010633288423935995,0.45792868864205005,0.0
14,1.0,0.05,9.756712306910337e-05,-0.4031339858325378,0.010672865439626122,0.46587363272460497,0.0
15,1.0,0.05,9.421248264842043e-05,-0.41901276165912194,0.010447271036084949,0.5392309691595321,0.0
16,1.0,0.05,9.4317035693798e-05,-0.34828978630899066,0.0104719108273033,0.5259472587346495,0.0
17,1.0,0.05,9.451535171130697e-05,-0.3787496406109536,0.011046484127358754,0.5653376049580627,0.0
18,1.0,0.05,9.617377976561666e-05,-0.43846317157654724,0.010776226880610194,0.42184191655862924,0.0
19,1.0,0.05,9.051391770103423e-05,-0.277673371537551,0.011662721304256284,0.6226093607923364,0.0
20,1.0,0.05,9.005873109528666e-05,-0.3360787589767025,0.011572009122579892,0.6252461672490389,0.0
21,1.0,0.05,9.71592756963957e-05,-0.27213189617617495,0.010697269007602393,0.41148409375404715,0.0
22,1.0,0.05,9.146516321350691e-05,-0.5307219921291946,0.010592001097317366,0.6082489424822187,0.0
23,1.0,0.05,9.222476084846488e-05,-0.44960761784413883,0.01085664912158022,0.6149009016730831,0.0
24,1.0,0.05,9.77356492745542e-05,-0.36665211993730296,0.010509734348264336,0.47634163292581494,0.0
25,1.0,0.05,9.733588789026537e-05,-0.37977496565818925,0.010625120943751317,0.4784729882997515,0.0
26,1.0,0.05,9.142271568073621e-05,-0.42949824248152524,0.011138186014269524,0.6791383378684502,0.0
27,1.0,0.05,8.747024571373965e-05,-0.3845702744670625,0.010981938855466037,0.6503714671852723,0.0
28,1.0,0.05,9.194575496876664e-05,-0.3621220323764405,0.010779893619767871,0.6162202557132966,0.0
29,1.0,0.05,9.130277257501351e-05,-0.4147721215429314,0.01086046461618939,0.484865597221621,0.0
30,1.0,0.05,9.463526040432613e-05,-0.4087461531908314,0.010674434938829002,0.5287768857432865,0.0
31,1.0,0.05,9.463526040432613e-05,-0.4087461531908314,0.010674434938829002,0.5287768857432865,0.0
32,1.0,0.05,8.663149633842855e-05,-0.35219361966057505,0.01150735037744736,0.7766973329351788,0.0
33,1.0,0.05,8.453164595391673e-05,-0.3782055135065132,0.01155334578289556,0.7656990859010979,0.0
34,1.0,0.05,8.74385163467058e-05,-0.40706763744563546,0.011579960279152823,0.7367636935606776,0.0
35,1.0,0.05,9.292429174904752e-05,-0.4081026577686053,0.01063855364084367,0.5981643744411161,0.0
36,1.0,0.05,9.462515353277106e-05,-0.2812486063058568,0.0108018217722377,0.49590890215096445,0.0
37,1.0,0.05,9.810536601450406e-05,-0.40758836917026997,0.010280752681486784,0.4711183008101262,0.0
38,1.0,0.05,9.9573046961177e-05,-0.397995947291772,0.010597149598728947,0.3828191290139844,0.0
39,1.0,0.05,9.591758681434337e-05,-0.30757957341725195,0.01000245462593509,0.4903117015855308,0.0
40,1.0,0.05,9.483012958246833e-05,-0.5023903323747749,0.011150919921814571,0.5291458131087518,0.0
41,1.0,0.05,8.899009997309056e-05,-0.41278430748945816,0.010440553684991211,0.6598613527679177,0.0
42,1.0,0.05,9.04981123400882e-05,-0.33148348932696514,0.010742577555911619,0.6247372281782246,0.0
43,1.0,0.05,9.261315641951429e-05,-0.40694470714106146,0.011096777682344813,0.5282267835379976,0.0
44,1.0,0.05,9.507582981447222e-05,-0.22694720074716024,0.010301700035283846,0.50480354531741,0.0
45,1.0,0.05,8.491869511954149e-05,-0.39471606300024753,0.011319774637717703,0.6870885786820708,0.0
46,1.0,0.05,8.859443621253984e-05,-0.3795414659123235,0.011059846597171324,0.7637911182694161,0.0
47,1.0,0.05,8.994770466541492e-05,-0.4049340628363467,0.011090551198558264,0.600691964475153,0.0
48,1.0,0.05,9.651127275320147e-05,-0.41154222087246417,0.01114578626424065,0.4831400740551867,0.0
49,1.0,0.05,9.359426642640208e-05,-0.4178733459520281,0.010398860177715085,0.5852383435499997,0.0
50,1.0,0.05,9.246053628346653e-05,-0.3297452277819275,0.01058921523790221,0.5153357627850729,0.0
51,1.0,0.05,9.431997964981337e-05,-0.4438923470938718,0.010342625440496585,0.5220763088760494,0.0
52,1.0,0.05,8.924789075213974e-05,-0.3649116696326846,0.011436271588556767,0.6362217726029034,0.0
53,1.0,0.05,9.050616241536319e-05,-0.42476833909944034,0.010761354031315855,0.6502888576236688,0.0
54,1.0,0.05,9.093000157691268e-05,-0.3803271673540838,0.011354447086345759,0.6008042776104168,0.0
55,1.0,0.05,9.003399888777784e-05,-0.3706297038991728,0.010802778552309161,0.621777801360762,0.0
56,1.0,0.05,9.692089879635557e-05,-0.35772173599333,0.01051913436698158,0.46849025327698246,0.0
57,1.0,0.05,8.881111505094546e-05,-0.3716297194875029,0.01092746867070588,0.7224835177719308,0.0
58,1.0,0.05,9.58912921702016e-05,-0.38897139164807193,0.011019838339605813,0.5230830956390444,0.0
59,1.0,0.05,8.806528881247585e-05,-0.35097285410195056,0.010885568551284867,0.6160344760512514,0.0
60,1.0,0.05,9.429130096708508e-05,-0.3394536827105199,0.011202583058299758,0.5481576968249612,0.0
61,1.0,0.05,8.545012850825051e-05,-0.4616090678654263,0.011474803449965706,0.8362726706816555,0.0
62,1.0,0.05,0.00010386159361837857,-0.31412892622846655,0.010477292393554874,0.3759035079865102,0.0
63,1.0,0.05,9.698475561876792e-05,-0.3292204047518066,0.01057457742772439,0.41373067983088707,0.0
64,1.0,0.05,8.970364202561538e-05,-0.5106058563469329,0.010759336139469092,0.6147301783512014,0.0
65,1.0,0.05,9.214738263478273e-05,-0.36137060170241675,0.011000942657014907,0.586545983794386,0.0
66,1.0,0.05,9.064366830225909e-05,-0.532435123793281,0.011154363279314303,0.6133264393474093,0.0
67,1.0,0.05,9.736510923125723e-05,-0.3814178716907577,0.01096262419058473,0.4726192598575435,0.0
68,1.0,0.05,9.506914452172839e-05,-0.3945731450720178,0.01035755718583956,0.5827505563664336,0.0
69,1.0,0.05,9.367125641272754e-05,-0.31361186817158604,0.01085641446304853,0.543303619596466,0.0
70,1.0,0.05,9.568596195520744e-05,-0.3025933338889324,0.010337543772641311,0.42029194908190765,0.0
71,1.0,0.05,9.121193961621561e-05,-0.46719867073033683,0.011002389418528128,0.6802886221204557,0.0
72,1.0,0.05,8.902699244813054e-05,-0.4182988881740357,0.01116107677765258,0.7508036527783303,0.0
73,1.0,0.05,8.964503667081135e-05,-0.41792147816415515,0.010704439208488114,0.6066453982638794,0.0
74,1.0,0.05,9.311226355515552e-05,-0.4053922842335371,0.010956785192472472,0.49450724879247343,0.0
75,1.0,0.05,9.366003544805208e-05,-0.39773912249290433,0.010933828794450956,0.5699494433914021,0.0
76,1.0,0.05,9.004809212766639e-05,-0.4202708616533428,0.010973639871542106,0.6637710806172713,0.0
77,1.0,0.05,8.70963202301797e-05,-0.41515671730791226,0.01136308208306368,0.7022267515460999,0.0
78,1.0,0.05,8.70792761101593e-05,-0.4223760540658983,0.010976867017896198,0.5514969441297242,0.0
79,1.0,0.05,9.054436221867726e-05,-0.4043980136003693,0.010890728932773402,0.6029779673987753,0.0
80,1.0,0.05,9.183230657687455e-05,-0.38521715175420823,0.010582047143126097,0.6564369319070845,0.0
81,1.0,0.05,9.491962227456891e-05,-0.3395969988198555,0.01075589852345606,0.46654451545168296,0.0
82,1.0,0.05,9.718278784700674e-05,-0.3895552359711143,0.010748483025331348,0.46197102520386635,0.0
83,1.0,0.05,9.129783168702943e-05,-0.3732324789251926,0.01112787127539117,0.5560290923623813,0.0
84,1.0,0.05,8.87323594151188e-05,-0.3902545739633627,0.01109560229201065,0.591655716201221,0.0
85,1.0,0.05,9.268995046618314e-05,-0.3629038111645162,0.010707599049476426,0.5178171802563856,0.0
86,1.0,0.05,9.044985268243134e-05,-0.4014004759321832,0.010978232090101002,0.572388479871961,0.0
87,1.0,0.05,8.814823217432944e-05,-0.4263000814343041,0.010817307391778311,0.7387094257639238,0.0
88,1.0,0.05,8.758944630567566e-05,-0.45116313292063914,0.011274467562590597,0.5837274190170629,0.0
89,1.0,0.05,9.535550444940256e-05,-0.37918532253415904,0.011146883653546082,0.6060483959450048,0.0
90,1.0,0.05,8.959063593861953e-05,-0.3380683242823359,0.010710191126864072,0.5990639973092808,0.0
91,1.0,0.05,9.221009979436793e-05,-0.36802428176637036,0.011015910673056857,0.6278095089718817,0.0
92,1.0,0.05,9.39336574210511e-05,-0.39429542910703574,0.010881495629618739,0.6655302015738979,0.0
93,1.0,0.05,9.45891245466183e-05,-0.4368364482817686,0.011026714932169505,0.5833405512403954,0.0
94,1.0,0.05,9.318437806151305e-05,-0.47539136074933985,0.011048481304005176,0.47155075884859593,0.0
95,1.0,0.05,9.491867416661087e-05,-0.5777031137889175,0.010545947089145854,0.6469907389535234,0.0
96,1.0,0.05,9.289638476463304e-05,-0.4751536078935992,0.01051922265881302,0.5673618756270271,0.0
97,1.0,0.05,9.3760738232257e-05,-0.3119256451187713,0.010740395751481674,0.45227663541679336,0.0
98,1.0,0.05,9.450186828992513e-05,-0.3089494111406541,0.010517015171104364,0.496377048099223,0.0
99,1.0,0.05,9.855123921417355e-05,-0.4820122900401458,0.010383205445475621,0.4960566506935235,0.0
100,1.0,0.05,8.904158144060006e-05,-0.32183735164296934,0.010751246588566911,0.5835760941048199,0.0
101,1.0,0.05,9.042475332682087e-05,-0.3353791883260371,0.01108985580273515,0.6241417160244155,0.0
102,1.0,0.05,9.193933752544982e-05,-0.2776868764605034,0.011017970594736793,0.6148754183500018,0.0
103,1.0,0.05,9.63888722052685e-05,-0.4564485136984473,0.010350442576569382,0.4609996451993282,0.0
104,1.0,0.05,9.594645280524197e-05,-0.27474487743309517,0.011118563462605903,0.4534011317646741,0.0
105,1.0,0.05,9.514086757731012e-05,-0.25131201567004524,0.01072928640950311,0.46146757237164,0.0
106,1.0,0.05,9.63060578074351e-05,-0.2607625379672047,0.01057282513486664,0.45738113348595577,0.0
107,1.0,0.05,9.650163304999994e-05,-0.37848425193827495,0.01024975415541939,0.4546003914542007,0.0
108,1.0,0.05,9.951938710765445e-05,-0.4488630104225919,0.010185690805313981,0.4518128436507196,0.0
109,1.0,0.05,9.460591980725122e-05,-0.3591786257064449,0.010549271982997961,0.49046964794334524,0.0
110,1.0,0.05,9.160690057143739e-05,-0.41452277261395487,0.010691656798312157,0.5530317837251244,0.0
111,1.0,0.05,8.919686763179476e-05,-0.36177191905492556,0.011212923923005628,0.6074224435237746,0.0
112,1.0,0.05,9.137494055440848e-05,-0.35646376920668565,0.010988694227916426,0.6050345744405783,0.0
113,1.0,0.05,9.15833050588367e-05,-0.3542880970255595,0.010566633241604567,0.5426289853335522,0.0
114,1.0,0.05,9.078847645093452e-05,-0.32996571411856834,0.010574965919388273,0.629458751127528,0.0
115,1.0,0.05,8.915582844993025e-05,-0.33784757801078413,0.010981184849055864,0.6475174328985749,0.0
116,1.0,0.05,9.104317209790573e-05,-0.2833891390725185,0.011089491484689675,0.5748733732651256,0.0
117,1.0,0.05,9.276633366115589e-05,-0.3094253297493381,0.011499278502347582,0.5078797478189194,0.0
118,1.0,0.05,9.235102940930473e-05,-0.28836071267762087,0.01050913667144149,0.5713038275727994,0.0
119,1.0,0.05,9.343842420674477e-05,-0.32309476250455305,0.011103229516930158,0.475395189643561,0.0
120,1.0,0.05,9.408412540338764e-05,-0.3755636379651346,0.011055851479524974,0.5410529602712292,0.0
121,1.0,0.05,8.80393423720921e-05,-0.3209250382215032,0.010608243183640564,0.6528999760910437,0.0
122,1.0,0.05,9.599676275853237e-05,-0.34396290167111765,0.010612139491405081,0.4725833090786114,0.0
123,1.0,0.05,8.893780934334205e-05,-0.4670518381677393,0.011331429871648568,0.7163438845728123,0.0
124,1.0,0.05,8.781377991229824e-05,-0.4254461264106091,0.011191078574205668,0.7267147821562263,0.0
125,1.0,0.05,9.333015492653078e-05,-0.4280290015715398,0.011364761780524561,0.5204078756799907,0.0
126,1.0,0.05,9.593051718893489e-05,-0.4731191391989942,0.010825466482396276,0.5037071756902499,0.0
127,1.0,0.05,9.757516965499764e-05,-0.443529591164209,0.010697563543352858,0.5004412030192469,0.0
128,1.0,0.05,9.377914934495952e-05,-0.3442566190946508,0.010237325009177265,0.4684217485709602,0.0
129,1.0,0.05,9.517438370354426e-05,-0.3567155341323467,0.010431337558284324,0.5346268762219551,0.0
130,1.0,0.05,9.180653123611685e-05,-0.3910826822772755,0.011267942222202848,0.6182702677441624,0.0
131,1.0,0.05,9.252134121211355e-05,-0.3943482247332266,0.010644966254216865,0.5905477390580746,0.0
132,1.0,0.05,8.916110719906229e-05,-0.3569397248478534,0.011170378100229972,0.5904252737827101,0.0
133,1.0,0.05,9.053544004988172e-05,-0.35145058537021256,0.011239363807385492,0.6356174292790963,0.0
134,1.0,0.05,9.06533302624661e-05,-0.38897460220884206,0.01123930270196303,0.5837390124577464,0.0
135,1.0,0.05,9.49306143491298e-05,-0.4530106556318749,0.010664054254106388,0.5142299865984649,0.0
136,1.0,0.05,9.086643046581846e-05,-0.3519111624075375,0.01081179335468081,0.5611528869600763,0.0
137,1.0,0.05,9.327900620497447e-05,-0.46683735894128553,0.010803351133771625,0.5284749686643299,0.0
138,1.0,0.05,9.453783009874866e-05,-0.538424830666214,0.010514950003203872,0.5722137182557279,0.0
139,1.0,0.05,9.299459800749717e-05,-0.4602614893908932,0.011028270346916292,0.53533205405998,0.0
140,1.0,0.05,9.195269183846528e-05,-0.45341371645963946,0.010491680777639813,0.6194636550334593,0.0
141,1.0,0.05,9.233294376975959e-05,-0.4025157149078904,0.010548209782682672,0.5605885470120262,0.0
142,1.0,0.05,9.354229637044378e-05,-0.41703837843606095,0.010433365504546637,0.5425218032458108,0.0
143,1.0,0.05,9.582692603533027e-05,-0.37763377875443993,0.010457412982499746,0.4559138878312119,0.0
