,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,MAP
b,1.0,0.0,0.0,1.0,1.0,,,
p_error,0.05000000819563866,7.450580596923828e-09,1.4901161193847657e-09,0.05000000074505806,0.05000000074505806,1.0007506866324938,0.9997499687421851,
v__0_0,9.963326805849218e-05,2.022640464414386e-06,4.078164813618107e-08,9.54733124781858e-05,0.00010337458161958552,2231.2678435683047,1.0009003747707677,0.0001
gamma__0_0,0.4348914225496072,0.0671145087592198,0.0012952198865585512,0.3134022924487727,0.571458707055065,2781.0219066263307,0.9999112266604577,0.45
s__0_0,0.010752134078298172,0.00022198303790350532,4.7031731530320674e-06,0.010325831389937907,0.011187080670738711,2368.4515345123864,1.0002820522108145,0.010769
tau__0_0,0.3343209071894187,0.026129307694277577,0.0005236095524285747,0.28354098568793995,0.3853542848583257,2253.6910265451825,1.000256095364344,0.33
t0__0_0,0.0,0.0,0.0,0.0,0.0,,,
