,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,MAP
b,1.0,0.0,0.0,1.0,1.0,,,
p_error,0.05000000447034836,3.725290298461914e-09,7.450580596923829e-10,0.05000000074505806,0.05000000074505806,1.0001503703406758,0.9999499987499374,
v__0_0,8.846283113959372e-05,4.737543528898716e-06,2.4135251143711525e-07,7.906808624300319e-05,9.78195338484909e-05,303.29263959761926,0.9999506080529497,8.9e-05
gamma__0_0,-0.07718086906768035,0.08803904267525713,0.0022383187395017597,-0.24270926892887879,0.1050279944066066,1472.3132717207993,1.000162981015753,-0.12
s__0_0,0.005978300800596399,0.0005845855112319017,2.5405584906143252e-05,0.004896951265589377,0.007146773283786966,430.84366484804406,0.999987102959334,0.006316
tau__0_0,0.48923103389150874,0.10161960352303871,0.004768812743936536,0.3060769414474416,0.6925801845064576,350.7777675408023,1.0002231794212189,0.41
t0__0_0,0.0,0.0,0.0,0.0,0.0,,,
