,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,MAP
b,1.0,0.0,0.0,1.0,1.0,,,
p_error,0.05000000447034836,3.725290298461914e-09,7.450580596923829e-10,0.05000000074505806,0.05000000074505806,1.0001503703406758,0.9999499987499374,
v__0_0,9.251791167692686e-05,6.070465315688e-06,2.433814852258038e-07,8.04367318407533e-05,0.00010385217283854851,536.2493597581675,1.0000953094700682,9.2e-05
gamma__0_0,0.84743936625694,0.09883132016862241,0.0016835213903378427,0.6661532062691595,0.9998669057082097,3275.3868575872457,1.0004987738358189,0.89
s__0_0,0.007914173359600065,0.0008076748618998142,1.915597680569784e-05,0.006252611124215094,0.00944622818735031,1602.202265767776,1.0000627475993253,0.007819
tau__0_0,0.4343812608532849,0.11425622436975982,0.004310980711908914,0.23990911166587192,0.6636516985414092,628.5572659940968,0.9999665401880209,0.41
t0__0_0,0.0,0.0,0.0,0.0,0.0,,,
