,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat,MAP
b,1.0,0.0,0.0,1.0,1.0,,,
p_error,0.05000000447034836,3.725290298461914e-09,7.450580596923829e-10,0.05000000074505806,0.05000000074505806,1.0001503703406758,0.9999499987499374,
v__0_0,1.8262953123201738e-05,9.94579573464948e-07,3.394656035561823e-08,1.619639758044347e-05,2.019036520670775e-05,684.3948905296403,1.00166579399827,1.8e-05
gamma__0_0,0.06193837789769086,0.04462479193229761,0.0012176365071839869,-0.03221319698822178,0.1473149692604938,1313.0653846818923,1.0003749294310738,0.08
s__0_0,0.005718797140067906,0.00029633668799214764,8.723623570847428e-06,0.005129769057841537,0.006282020702598941,1254.108352782885,1.0014956011757332,0.005864
tau__0_0,2.7947595544859176,0.5985941062378464,0.019966369494604654,1.7513580449395614,4.038852942409955,949.4985077477315,1.0015912665284328,2.57
t0__0_0,0.0,0.0,0.0,0.0,0.0,,,
