,WAIC,pWAIC,dWAIC,weight,SE,dSE,var_warn
additive,2811.08,3.79,0.0,0.96,31.89,0.0,0
GLAM,2823.5,3.66,12.42,0.04,32.12,7.59,0
nobias,2895.06,3.29,83.98,0.0,31.32,15.22,0
