,WAIC,pWAIC,dWAIC,weight,SE,dSE,var_warn
GLAM,1744.42,3.63,0.0,0.66,25.75,0.0,0
additive,1749.05,2.79,4.62,0.34,24.08,8.36,0
nobias,1876.94,2.46,132.52,0.0,17.75,18.15,0
