,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
additive,1684.97,3.76,0.0,0.62,22.94,0.0,0
multiplicative,1685.1,3.63,0.13,0.29,22.78,3.0,0
nobias,1704.68,2.59,19.71,0.09,24.62,10.39,0
