,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
multiplicative,2815.31,4.36,0.0,0.9,32.18,0.0,0
additive,2828.82,3.17,13.5,0.1,31.32,8.28,0
nobias,2954.37,2.72,139.06,0.0,22.08,19.65,0
