,WAIC,pWAIC,dWAIC,weight,SE,dSE,var_warn
additive,2778.3,3.64,0.0,1.0,29.02,0.0,0
multiplicative,2783.78,3.99,5.49,0.0,29.65,2.32,0
nobias,2799.96,2.5,21.66,0.0,30.82,8.37,0
