,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
multiplicative,23381.5,4.43,0.0,0.66,118.09,0.0,0
additive,23393.29,3.67,11.8,0.34,117.09,12.47,0
nobias,23770.86,3.41,389.37,0.0,111.83,35.52,0
