,WAIC,pWAIC,dWAIC,weight,SE,dSE,var_warn
GLAM,1515.58,3.57,0.0,0.75,25.99,0.0,0
nobias,1516.32,3.11,0.74,0.25,25.99,2.48,0
additive,1516.48,3.96,0.9,0.0,25.93,0.99,0
