,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
additive,1541.76,3.74,0.0,0.54,23.68,0.0,0
multiplicative,1541.96,3.8,0.2,0.46,24.31,2.76,0
nobias,1584.62,2.68,42.85,0.0,22.96,12.7,0
