,WAIC,pWAIC,dWAIC,weight,SE,dSE,var_warn
additive,797.6,5.58,0.0,0.57,19.16,0.0,1
GLAM,798.67,5.14,1.07,0.33,17.83,3.73,1
nobias,811.98,3.16,14.38,0.09,17.84,8.49,0
