,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
multiplicative,1580.66,3.98,0.0,0.7,19.65,0.0,0
additive,1581.13,3.91,0.48,0.02,19.51,2.05,0
nobias,1582.8,2.88,2.15,0.28,20.57,4.6,0
