,WAIC,pWAIC,dWAIC,weight,SE,dSE,var_warn
GLAM,2681.55,4.01,0.0,0.61,31.25,0.0,0
additive,2682.33,4.13,0.78,0.39,30.66,3.88,0
nobias,2787.78,2.95,106.23,0.0,26.09,17.06,0
