,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
additive,1962.0,4.29,0.0,0.53,22.94,0.0,0
multiplicative,1963.61,4.8,1.61,0.47,22.44,8.41,0
nobias,2036.45,2.87,74.45,0.0,17.68,12.86,0
