,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
multiplicative,21416.76,3.88,0.0,1.0,122.78,0.0,1
additive,21443.48,4.03,26.72,0.0,123.06,6.96,1
nobias,21476.02,3.1,59.26,0.0,122.76,15.31,1
