,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
additive,2681.36,3.64,0.0,0.57,30.62,0.0,0
multiplicative,2681.97,4.19,0.61,0.43,31.18,3.87,0
nobias,2787.58,2.85,106.23,0.0,26.12,16.31,0
