,WAIC,pWAIC,dWAIC,weight,SE,dSE,var_warn
additive,2863.01,3.63,0.0,1.0,21.5,0.0,0
GLAM,2866.91,4.03,3.9,0.0,22.53,3.39,0
nobias,2947.42,2.9,84.41,0.0,17.55,15.74,0
