,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
multiplicative,1820.22,4.56,0.0,0.71,28.86,0.0,0
additive,1827.68,6.18,7.46,0.0,28.34,3.59,0
nobias,1828.22,3.15,8.01,0.29,29.26,9.33,0
