,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
additive,2865.93,2.67,0.0,0.53,21.63,0.0,0
multiplicative,2866.83,4.01,0.9,0.47,22.55,6.09,0
nobias,2947.46,2.89,81.53,0.0,17.47,12.78,0
