,WAIC,pWAIC,dWAIC,weight,SE,dSE,var_warn
GLAM,1489.78,5.44,0.0,0.84,24.97,0.0,0
additive,1499.88,5.95,10.1,0.11,24.55,7.52,0
nobias,1519.78,3.32,30.0,0.05,21.16,12.72,0
