,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
multiplicative,1793.54,3.8,0.0,0.53,33.62,0.0,0
nobias,1793.73,3.1,0.19,0.47,33.54,3.14,0
additive,1796.61,4.74,3.07,0.0,33.33,3.08,0
