,WAIC,pWAIC,dWAIC,weight,SE,dSE,var_warn
GLAM,1716.55,5.08,0.0,0.56,23.26,0.0,0
additive,1718.16,5.09,1.61,0.35,24.24,3.57,0
nobias,1773.82,3.96,57.26,0.09,23.26,15.42,0
