,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
additive,2571.99,4.79,0.0,1.0,30.22,0.0,0
multiplicative,2579.87,5.36,7.88,0.0,30.32,3.24,0
nobias,2603.44,5.12,31.45,0.0,32.56,10.84,0
