,WAIC,pWAIC,dWAIC,weight,SE,dSE,var_warn
additive,1533.92,5.26,0.0,0.63,19.7,0.0,0
GLAM,1536.32,6.55,2.41,0.27,19.31,4.92,0
nobias,1559.87,3.71,25.95,0.09,22.82,11.55,0
