,WAIC,pWAIC,dWAIC,weight,SE,dSE,var_warn
GLAM,21416.76,3.88,0.0,1.0,122.78,0.0,0
additive,21443.47,4.01,26.71,0.0,123.07,6.96,0
nobias,21476.02,3.1,59.26,0.0,122.76,15.31,0
