,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
additive,1608.21,3.28,0.0,0.86,20.01,0.0,0
multiplicative,1614.14,5.06,5.93,0.14,20.81,5.84,1
nobias,1644.7,2.76,36.49,0.0,18.58,9.05,0
