,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
additive,2007.01,4.09,0.0,0.72,19.33,0.0,0
multiplicative,2008.09,3.64,1.08,0.28,19.62,3.17,0
nobias,2018.91,3.2,11.91,0.0,19.76,7.37,0
