,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
additive,2710.61,4.79,0.0,0.5,36.25,0.0,0
multiplicative,2710.66,5.27,0.05,0.5,36.17,3.14,0
nobias,2783.23,3.01,72.63,0.0,32.43,16.46,0
