,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
multiplicative,20807.33,4.26,0.0,0.65,104.04,0.0,1
additive,20813.99,4.26,6.66,0.35,104.04,9.63,1
nobias,20990.89,3.57,183.56,0.0,101.59,27.37,0
