,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
additive,1573.67,4.63,0.0,0.57,21.78,0.0,0
multiplicative,1574.72,4.01,1.04,0.31,22.19,4.28,0
nobias,1580.74,3.33,7.06,0.12,21.73,7.28,0
