,WAIC,pWAIC,dWAIC,weight,SE,dSE,var_warn
additive,1678.09,3.17,0.0,0.96,23.59,0.0,0
GLAM,1684.96,4.64,6.87,0.04,24.26,5.68,0
nobias,1719.08,2.85,41.0,0.0,22.64,11.48,0
