,WAIC,pWAIC,dWAIC,weight,SE,dSE,var_warn
GLAM,20371.68,3.97,0.0,0.94,107.07,0.0,0
additive,20407.59,4.21,35.91,0.0,106.53,12.3,0
nobias,20549.3,3.05,177.62,0.06,101.69,29.02,0
