,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
additive,1611.78,4.3,0.0,0.59,23.12,0.0,0
multiplicative,1612.96,3.55,1.18,0.41,23.1,5.29,0
nobias,1632.77,2.73,20.99,0.0,23.98,10.41,0
