,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
additive,2811.29,3.92,0.0,0.95,31.94,0.0,1
multiplicative,2823.36,3.55,12.07,0.05,32.04,7.61,1
nobias,2894.61,3.08,83.32,0.0,31.37,15.22,0
