,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
multiplicative,1856.7,4.09,0.0,0.67,22.09,0.0,0
additive,1856.97,4.15,0.27,0.02,22.11,1.39,0
nobias,1859.13,2.6,2.43,0.31,22.57,5.12,0
