,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
multiplicative,23563.94,4.13,0.0,0.53,92.6,0.0,0
additive,23566.69,3.58,2.75,0.47,92.42,13.16,0
nobias,23851.65,2.74,287.71,0.0,87.19,30.94,0
