,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
additive,1532.49,3.24,0.0,0.56,22.94,0.0,0
multiplicative,1533.48,4.45,0.99,0.44,23.44,5.02,0
nobias,1660.59,2.49,128.09,0.0,19.13,18.3,0
