,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
multiplicative,1749.28,4.14,0.0,0.61,24.4,0.0,0
additive,1750.69,3.61,1.42,0.39,24.93,5.19,0
nobias,1763.44,2.88,14.16,0.0,24.92,6.99,0
