,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
multiplicative,1987.91,4.31,0.0,1.0,25.22,0.0,0
additive,1994.16,4.26,6.25,0.0,24.83,2.79,0
nobias,2009.23,2.76,21.32,0.0,23.57,9.16,0
