,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
multiplicative,1744.62,3.75,0.0,0.68,25.76,0.0,0
additive,1752.08,2.61,7.45,0.32,24.67,10.78,0
nobias,1876.94,2.46,132.31,0.0,17.75,18.16,0
