,WAIC,pWAIC,dWAIC,weight,SE,dSE,var_warn
GLAM,22923.34,3.62,0.0,0.93,93.27,0.0,0
additive,22944.04,3.96,20.69,0.07,93.78,9.89,0
nobias,23097.67,2.74,174.32,0.0,89.54,25.16,0
