,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
additive,2634.59,3.54,0.0,0.57,30.98,0.0,0
multiplicative,2635.2,3.54,0.61,0.43,32.0,5.25,0
nobias,2670.49,2.74,35.9,0.0,32.4,11.42,0
