,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
additive,2617.5,3.62,0.0,0.97,32.66,0.0,0
multiplicative,2623.83,4.65,6.33,0.03,33.76,5.38,0
nobias,2755.02,3.07,137.53,0.0,27.51,17.37,0
