,WAIC,pWAIC,dWAIC,weight,SE,dSE,var_warn
additive,1619.23,4.32,0.0,0.77,20.1,0.0,0
GLAM,1623.86,4.38,4.62,0.0,20.06,3.0,0
nobias,1630.56,2.53,11.32,0.23,20.62,9.56,0
