,WAIC,pWAIC,dWAIC,weight,SE,dSE,var_warn
additive,20804.51,4.21,0.0,0.83,104.49,0.0,0
GLAM,20828.92,4.33,24.41,0.17,104.03,12.24,0
nobias,21134.88,3.18,330.37,0.0,99.88,34.83,0
