,WAIC,pWAIC,dWAIC,weight,SE,dSE,var_warn
additive,22247.01,4.02,0.0,0.75,91.77,0.0,0
GLAM,22254.84,4.09,7.83,0.21,91.05,7.8,0
nobias,22324.75,2.8,77.74,0.04,92.23,19.02,0
