,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
additive,1619.14,4.25,0.0,0.77,20.1,0.0,0
multiplicative,1623.86,4.38,4.72,0.0,20.06,3.02,0
nobias,1630.56,2.53,11.42,0.23,20.62,9.57,0
