,WAIC,pWAIC,dWAIC,weight,SE,dSE,var_warn
additive,2742.25,3.53,0.0,1.0,24.91,0.0,0
GLAM,2747.79,3.33,5.54,0.0,24.92,3.4,0
nobias,2839.39,2.78,97.14,0.0,20.38,15.43,0
