,WAIC,pWAIC,dWAIC,weight,SE,dSE,var_warn
GLAM,1781.55,4.1,0.0,0.2,26.83,0.0,0
additive,1782.05,4.9,0.51,0.45,26.72,3.16,0
nobias,1787.04,2.64,5.49,0.34,26.67,8.73,0
