,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
multiplicative,1489.45,5.22,0.0,0.84,24.84,0.0,0
additive,1498.83,5.4,9.38,0.12,24.5,7.4,0
nobias,1519.76,3.31,30.31,0.04,21.14,12.66,0
