,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
additive,797.22,5.38,0.0,0.67,19.2,0.0,0
multiplicative,798.95,5.3,1.73,0.25,17.88,3.69,0
nobias,811.97,3.19,14.75,0.09,17.92,8.38,0
