,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
multiplicative,1515.6,3.58,0.0,0.75,25.99,0.0,0
nobias,1516.32,3.11,0.73,0.25,25.99,2.48,0
additive,1516.46,3.91,0.86,0.0,25.84,1.01,0
