,WAIC,pWAIC,dWAIC,weight,SE,dSE,var_warn
additive,2794.79,3.6,0.0,1.0,26.15,0.0,0
GLAM,2811.67,4.13,16.88,0.0,26.51,4.17,0
nobias,2933.05,2.41,138.25,0.0,23.88,16.89,0
