,WAIC,pWAIC,dWAIC,weight,SE,dSE,var_warn
additive,1614.38,4.17,0.0,0.99,22.99,0.0,0
GLAM,1622.22,4.3,7.85,0.0,22.74,5.48,0
nobias,1657.89,3.51,43.52,0.01,22.86,12.56,0
