,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
additive,1785.0,4.18,0.0,0.86,21.78,0.0,0
multiplicative,1793.61,5.42,8.61,0.0,21.66,4.08,0
nobias,1818.76,2.79,33.76,0.14,21.32,13.93,0
