,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
additive,21507.96,4.48,0.0,0.98,107.2,0.0,1
multiplicative,21560.1,4.7,52.14,0.0,106.08,12.83,1
nobias,21745.48,3.4,237.52,0.02,106.9,31.62,1
