,WAIC,pWAIC,dWAIC,weight,SE,dSE,var_warn
additive,23428.4,3.63,0.0,0.58,101.64,0.0,0
GLAM,23431.89,3.81,3.49,0.42,101.21,10.7,0
nobias,23549.41,2.55,121.01,0.0,98.84,22.81,0
