,LOO,pLOO,dLOO,weight,SE,dSE,shape_warn
multiplicative,23794.17,4.06,0.0,0.72,102.95,0.0,0
additive,23798.98,3.9,4.81,0.17,103.09,6.94,0
nobias,23832.5,2.61,38.33,0.11,101.95,15.01,0
